driverId,name,ssn,location,certified,wage-plan
10,Adam Martinez,169-79-4295,"82224 Jasmine Pine Suite 655
North Beth, VT 84308",N,miles
11,Luis Fields,718-43-6728,"5568 Peterson Forks Suite 168
New Kimberly, OK 31927",N,hours
12,Sharon Vaughn,280-72-2846,"23516 Williams Heights
North Michaelberg, AL 92859",Y,hours
13,Matthew Cline,091-44-6227,"309 Brian Rapids
Garrettfort, OR 21252",N,hours
14,Kathleen Smith,412-80-4548,"9710 Moreno Locks
South Benjamin, NY 52365",N,hours
15,Alyssa Lewis,739-17-8220,"771 Nicole Mission Apt. 287
Evansside, MA 56693",N,miles
16,Michelle Duffy,532-92-9508,"1180 Jordan Way
Duncanfurt, CA 60860",Y,hours
17,Angela Collins,155-49-9881,"690 Costa Manor Apt. 974
Cynthiaton, NE 50277",N,miles
18,Tammy Obrien,173-69-1556,"87242 Meagan Courts Suite 909
Lake Amy, OH 90909",N,hours
19,Jessica Gonzalez,755-97-1094,"529 Henry Heights
Lancefurt, MN 32050",Y,hours
20,Kayla Davenport,400-60-1374,"99351 Jessica Shoals Apt. 561
North Melanie, AK 13442",Y,miles
21,Jason Moran,685-80-4883,"6991 Maddox Route
Lake Davidburgh, NM 49215",Y,miles
22,Kenneth Anderson DDS,306-84-5354,"31931 Isabella Ramp
Lake Lori, WA 53313",N,hours
23,Jillian Phillips,726-69-5434,"USS Myers
FPO AA 85923",Y,hours
24,Steve Moreno,101-43-0742,"73699 Travis Station Suite 833
Port Michaelburgh, MT 94705",Y,miles
25,Steven Spence,017-03-5797,"838 Melissa Mountain
North John, UT 96113",Y,hours
26,Kevin Taylor,446-10-9182,"408 Velasquez Groves
South Lindsay, CT 12587",Y,hours
27,Darrell Jordan,027-19-0037,"6560 Brown Hollow Apt. 203
Perezberg, MT 74371",Y,hours
28,Kristina Lopez,054-28-0160,"755 Rivera Corners
Carsonfort, PA 57903",Y,miles
29,James Nichols,379-22-0777,"310 Alexander Flat Suite 290
Reidland, NH 47438",N,miles
